date,daily_generation_mwh,peak_demand_mwh,grid_frequency_hz,system_voltage_kv,is_outlier,year,month,month_name,quarter,day_of_week,generation_demand_gap,capacity_utilization,frequency_out_of_range,voltage_out_of_range
2023-01-01,4299.342830602247,5643.862080878962,49.70648816671549,326.46045019183543,False,2023,1,January,1,Sunday,1344.519250276715,76.17731916533079,True,False
2023-01-02,4294.237923777238,5924.321369528417,49.829050121528375,341.1627856547255,False,2023,1,January,1,Monday,1630.0834457511783,72.48489161753669,False,False
2023-01-03,3223.7536196865417,4772.658154341291,50.09885262067191,336.32319125304844,False,2023,1,January,1,Tuesday,1548.9045346547496,67.54629213814864,False,False
2023-01-04,4583.530596699778,6366.377205114856,49.5448478909985,334.002275944431,False,2023,1,January,1,Wednesday,1782.8466084150787,71.99590047880434,True,False
2023-01-05,4106.535711406476,6218.638927683502,50.22517375025653,324.9131658109494,False,2023,1,January,1,Thursday,2112.1032162770252,66.03592456743903,False,False
2023-01-06,4029.983135376727,6156.611622457314,49.875141678534426,335.5509167290343,False,2023,1,January,1,Friday,2126.628487080587,65.45780995306998,False,False
2023-01-07,4029.983135376727,6267.062531914373,49.66097919828789,328.14400979850365,False,2023,1,January,1,Saturday,2237.0793965376456,64.30417942783325,True,False
2023-01-08,4385.713742862032,6377.51344137143,49.86499614260126,336.8670841488868,False,2023,1,January,1,Sunday,1991.7996985093987,68.76839669849322,False,False
2023-01-09,4260.179915173359,6188.623486910495,50.37714476505877,322.54601962323034,False,2023,1,January,1,Monday,1928.4435717371352,68.83889323989463,True,False
2023-01-10,4496.112334894436,6343.04438316439,49.839399473895135,327.26146538430686,False,2023,1,January,1,Tuesday,1846.932048269954,70.88256148463894,False,False
2023-01-11,4218.30751350479,6664.408954750149,50.10753608546288,315.1506331117198,False,2023,1,January,1,Wednesday,2446.1014412453587,63.29604833896235,False,False
2023-01-12,4092.212104111016,6335.775148868388,49.78071311728536,329.47488584990646,False,2023,1,January,1,Thursday,2243.563044757372,64.58897306104546,False,False
2023-01-13,4157.109274980766,6273.754733917043,50.22737655497709,317.83498704556735,False,2023,1,January,1,Friday,2116.6454589362775,66.2619029798326,False,False
2023-01-14,3759.5223949282527,5693.0372087085725,50.20565232163706,313.2893032475701,False,2023,1,January,1,Saturday,1933.5148137803199,66.0372004802174,False,True
2023-01-15,3641.988749426719,5239.054874613556,50.55458264998892,333.87991721783084,False,2023,1,January,1,Sunday,1597.0661251868373,69.51614053661463,True,False
